Loading data
Number of tasks = 13
Fold 0
Splitting data with seed 0
Class sizes
G1 0: 96.70%, 1: 3.30%
G2 0: 97.37%, 1: 2.63%
G3 0: 96.61%, 1: 3.39%
G4 0: 95.81%, 1: 4.19%
G5 0: 95.92%, 1: 4.08%
G6 0: 96.50%, 1: 3.50%
G7 0: 95.89%, 1: 4.11%
G8 0: 96.01%, 1: 3.99%
G9 0: 96.67%, 1: 3.33%
G10 0: 96.67%, 1: 3.33%
G11 0: 93.72%, 1: 6.28%
G12 0: 96.58%, 1: 3.42%
G13 0: 94.79%, 1: 5.21%
Total size = 37,773 | train size = 37,773 | val size = 4,721 | test size = 4,723
Building model 0
MoleculeModel(
  (sigmoid): Sigmoid()
  (encoder): MPN()
  (ffn): Sequential(
    (0): Dropout(p=0.25, inplace=False)
    (1): Linear(in_features=200, out_features=1400, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.25, inplace=False)
    (4): Linear(in_features=1400, out_features=13, bias=True)
  )
)
Number of parameters = 299,613
Moving model to cuda
Epoch 0
Loss = 1.9189e-01, PNorm = 21.8937, GNorm = 0.1628, lr_0 = 9.7920e-04
Loss = 1.9326e-01, PNorm = 21.9305, GNorm = 0.1070, lr_0 = 9.7813e-04
Loss = 1.6301e-01, PNorm = 21.9623, GNorm = 0.0867, lr_0 = 9.7707e-04
Loss = 1.8470e-01, PNorm = 21.9635, GNorm = 0.1605, lr_0 = 9.7600e-04
Loss = 1.6934e-01, PNorm = 21.9900, GNorm = 0.1210, lr_0 = 9.7494e-04
Loss = 1.6957e-01, PNorm = 22.0386, GNorm = 0.1658, lr_0 = 9.7388e-04
Loss = 1.7005e-01, PNorm = 22.0246, GNorm = 0.1720, lr_0 = 9.7282e-04
Loss = 1.4900e-01, PNorm = 22.0859, GNorm = 0.1537, lr_0 = 9.7176e-04
Loss = 1.4222e-01, PNorm = 22.1054, GNorm = 0.0952, lr_0 = 9.7070e-04
Loss = 1.2129e-01, PNorm = 22.1501, GNorm = 0.1217, lr_0 = 9.6965e-04
Loss = 1.2497e-01, PNorm = 22.1978, GNorm = 0.0922, lr_0 = 9.6859e-04
Loss = 1.0036e-01, PNorm = 22.2047, GNorm = 0.0837, lr_0 = 9.6754e-04
Loss = 2.0276e-01, PNorm = 22.1963, GNorm = 0.1298, lr_0 = 9.6648e-04
Loss = 1.3808e-01, PNorm = 22.2415, GNorm = 0.0759, lr_0 = 9.6543e-04
Loss = 1.2078e-01, PNorm = 22.2808, GNorm = 0.0793, lr_0 = 9.6438e-04
Loss = 1.4647e-01, PNorm = 22.2598, GNorm = 0.0902, lr_0 = 9.6333e-04
Loss = 1.4242e-01, PNorm = 22.2775, GNorm = 0.0800, lr_0 = 9.6228e-04
Loss = 1.6384e-01, PNorm = 22.3007, GNorm = 0.1986, lr_0 = 9.6123e-04
Loss = 1.7850e-01, PNorm = 22.2895, GNorm = 0.0966, lr_0 = 9.6019e-04
Loss = 1.7453e-01, PNorm = 22.3295, GNorm = 0.1033, lr_0 = 9.5914e-04
Loss = 1.6858e-01, PNorm = 22.3645, GNorm = 0.0723, lr_0 = 9.5810e-04
Loss = 1.7539e-01, PNorm = 22.3624, GNorm = 0.1170, lr_0 = 9.5705e-04
Loss = 1.6611e-01, PNorm = 22.3880, GNorm = 0.0975, lr_0 = 9.5601e-04
Loss = 1.6480e-01, PNorm = 22.4062, GNorm = 0.0870, lr_0 = 9.5497e-04
